Metric,Value
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,50
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,50
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_tt_025C_1v80,1.79947
design_powergrid__drop__average__net:VPWR__corner:nom_tt_025C_1v80,1.79983
design_powergrid__drop__worst__net:VPWR__corner:nom_tt_025C_1v80,0.000525519
design_powergrid__voltage__worst__net:VGND__corner:nom_tt_025C_1v80,0.000586755
design_powergrid__drop__average__net:VGND__corner:nom_tt_025C_1v80,0.000165407
design_powergrid__drop__worst__net:VGND__corner:nom_tt_025C_1v80,0.000586755
design_powergrid__voltage__worst,0.000586755
design_powergrid__voltage__worst__net:VPWR,1.79947
design_powergrid__drop__worst,0.000586755
design_powergrid__drop__worst__net:VPWR,0.000525519
design_powergrid__voltage__worst__net:VGND,0.000586755
design_powergrid__drop__worst__net:VGND,0.000586755
ir__voltage__worst,1.8000000000000000444089209850062616169452667236328125
ir__drop__avg,0.000168999999999999987905507925489700937760062515735626220703125
ir__drop__worst,0.0005259999999999999918676163446207283413968980312347412109375
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
